user_id,username,pp,global_rank
12712916,[LS]Khu,13244.2,506
33469864,sakura-nyanko,13243.4,507
31173855,6lives,13243.3,508
15116540,zeus148,13242.4,509
23506403,NoMore5555,13240.3,510
25263357,rikan,13239.1,511
17851478,-Yubi-,13237.8,512
26866383,MISHASUMSKOY,13233.7,513
17932840,Modern,13226.4,514
32211048,nudragon,13220.7,515
18424995,Disce,13217.7,516
25656173,-[ ducky ]-,13217.6,517
8756421,quentin5110054,13215.4,518
15763622,Koishi Komeijie,13215.0,519
14132796,agusgex,13207.1,520
17244618,moths,13203.7,521
29173160,Star0 xing,13200.3,522
22991578,Varunaxx,13200.3,523
22708257,[KC]CruB,13189.1,524
32498055,LemieH_,13189.0,526
6906010,Luciel,13188.7,526
18080616,brochyper,13187.9,527
33133555,Xi_story,13187.4,528
34068524,Tharna,13186.0,529
19318375,CardoPlayzOsu,13184.4,530
16665306,aeko,13181.7,532
29591499,dream2,13175.3,532
15513303,Znow,13172.9,533
16738047,Luminary-,13172.8,534
30495433,Shirakami_Fbk,13169.2,535
27233308,CuteNatro,13168.8,536
19267916,maxing0188,13162.9,537
13498902,Igzosta,13154.7,538
18018980,lingR,13143.6,539
16233412,[GB]fanqiu,13138.6,542
9592970,[RS] Vbei,13137.1,541
25308131,RTrigger,13134.9,542
19862784,Chicken Sammy,13128.8,543
34936164,SendHelpPls,13116.5,544
31899950,Culturing,13112.5,545
16606499,vjwhl,13099.4,546
33135696,izqyoifanboy,13098.1,547
34112607,Danet,13091.5,548
24553856,taoovnnha,13089.5,549
30178970,[Crz]ZeenZore,13088.7,550
22202849,F_Scarlet,13084.5,551
25297760,R3nShik,13084.1,552
34979537,Sillyguyig,13077.5,553
5349855,7co,13067.9,554
36113882,YuLuoX,13066.2,555
6753592,[Crz]raber,13063.9,556
28985128,NoobGamingRCS,13060.4,557
7143444,[Paw]Komane_63,13060.2,558
28168805,splat,13051.7,559
35556196,FangChen,13048.4,560
19744986,-Viktor-,13044.7,560
30948823,worstHDplayerr,13042.3,564
20846896,[Paw]pwod,13040.6,562
32436952,Cyandrip,13040.4,563
14174524,Silicosis 4,13038.9,564
17883404,tuoleiawa,13036.1,565
17750113,k1dsbtw,13034.7,566
21738871,Bonguis,13033.9,570
16302088,Liker,13033.4,567
35515207,ruspberry,13032.3,568
25864079,GinaFujino,13031.5,569
12818249,IvanOfficial,13025.7,572
23726452,xxxbruhmanxxx,13024.6,571
34103778,fartface2888,13022.8,572
5063207,AirSpan,13020.5,573
16248394,aa181619,13020.5,574
14318892,ImNotYume,13014.6,576
25310915,[Crz]Saratoga,13013.5,578
13086972,Lycanroc,13012.2,578
32324496,Sealone514,13004.7,581
35057436,Patience5622,13002.1,582
27078040,whenheckerissus,12997.3,584
34902541,Ylderuem,12989.6,584
17735799,medkit_chan,12989.1,586
6605301,sagerao,12985.4,585
23819962,Bolelo,12984.5,586
27416757,ZeRoPoWo,12982.4,587
22709527,Yamiru,12982.4,588
16530364,[LS]Sagirium,12969.7,591
11304809,ui227,12967.3,591
20846774,brainstorm,12966.8,592
13545528,xShyzDy,12963.6,592
34997279,Reno114514,12963.5,593
31891965,DominoMonika,12956.5,596
15927535,venyez,12953.0,594
26364539,My Angel Brandy,12948.2,596
27455673,ZefliN,12945.6,596
14888056,oliverq,12945.2,597
34705655,Yama113,12943.6,600
14454420,fhdmtmf,12939.3,599
30885120,Firefly Neko,12937.2,600
29887134,Torfo,12933.6,601
13363251,snun,12930.7,602
17241523,ste248,12927.6,603
32106298,shigao233,12925.5,604
25336842,mocchi,12914.5,606
15832551,Kuruche,12914.0,607
16427395,ZilverX15,12912.9,608
8683297,[Crz]EzNys,12908.2,609
24372238,-Zesshi-,12906.8,610
17468569,Pixelated Souls,12901.1,611
25158670,kamladshold,12894.4,612
14694998,Appetible,12893.4,613
15924859,hanSPlayer,12891.5,614
24748885,CloverWisp,12891.2,615
6824332,Squartatrice,12884.6,616
23609936,jianawesome22,12874.6,617
11467559,robrt,12873.2,618
31741462,syouiti,12870.7,619
16081867,- Such -,12870.6,620
10374991,Sirelia,12867.6,621
16191405,jackyjacky607,12867.3,622
11112775,[Mys]Mili,12865.0,624
28719794,SuperSkilled,12858.5,625
26404958,xn_xm,12857.6,626
36836616,w0rst ln player,12846.5,627
35657031,vendama,12846.2,628
17471458,fantasticsiker,12836.9,629
6384643,Hidrocarburo,12832.2,630
31212706,Korisero,12827.7,632
27668009,yey,12827.3,632
11188249,Plutes,12820.2,633
17130499,brendwn,12819.9,634
22920375,maquiito,12819.6,635
27541831,-bode-,12806.6,636
10303887,oct4,12802.0,637
33647797,Spat1o,12798.8,638
11743309,_Sushi_,12798.6,639
13887879,Adic,12797.7,640
