user_id,elo,username,country
25801404,282.5350977510034,IDHAN1224,VN
26261249,282.50648371706427,Magnes99,HU
30563526,282.31931771904465,puhanainoto,AR
5214842,282.1377187397684,Jeanne Da Rin,CL
24621752,281.90610602730914,black_dragon28,SV
3760209,281.8075120985264,Tosai_,MY
16191180,281.79747327680764,Shice2566,TW
23779738,281.69569674394114,NamelessFanatic,US
27616965,281.61361155772164,Strufe,GB
5190592,281.5790510847716,SilentParleHorn,CN
15508957,281.3864795011849,yeetboii,VN
10111665,281.2800039644601,qsdr4456,KR
30608692,281.0838157726453,[Crz]Nurture,CN
35279965,280.4857051508474,alooz,AU
26872327,280.1888614814678,TeneBryste,US
11986603,280.18332903093835,Noobleh,TH
14666538,280.0453864436868,Charli XCX,GB
17753250,280.0045433242053,reticentfile,PR
29112942,279.8421685919519,reeee123,PH
25850141,279.5619259424406,Raon2007,KR
16314282,279.31854102280096,Jmpandbomb,KR
22703533,279.26382166957643,Polygone,NL
25578486,279.1057757905846,Lifestyle_,TH
21891521,279.00301802477424,[LS] -Koyume-,MY
17544482,278.8885097460945,KyNets,HK
31684842,278.5694733264934,4kplayer456,US
19805569,278.562802060257,pogyes,PH
